PMID	Pubdate	Journal	Disease ID	Disease Text	Food ID	Food Text	Sentence	Labels
1834299	1991	British medical bulletin	MESH:D010146	pain	Food ID:3942	evening primrose	Using danazol, bromocriptine or ANN-FOOD oil a clinically useful improvement in ANN-DISEASE can be anticipated in 77% of patients with cyclical mastalgia and 44% with non-cyclical mastalgia.	Positive
1834299	1991	British medical bulletin	MESH:D059373	mastalgia	Food ID:3942	evening primrose	Using danazol, bromocriptine or ANN-FOOD oil a clinically useful improvement in pain can be anticipated in 77% of patients with cyclical ANN-DISEASE and 44% with non-cyclical mastalgia.	Positive
1834299	1991	British medical bulletin	MESH:D059373	mastalgia	Food ID:3942	evening primrose	Using danazol, bromocriptine or ANN-FOOD oil a clinically useful improvement in pain can be anticipated in 77% of patients with cyclical mastalgia and 44% with non-cyclical ANN-DISEASE.	Positive
1838315	1991	Contact dermatitis	MESH:D003872	dermatitis	Food ID:50225	dandelion	7 subjects, each giving a history suggesting ANN-FOOD ANN-DISEASE, were patch tested with extracts of dandelion as well as with other common members of the Compositae and to the sesquiterpene-lactone-mix.	Neutral
1838315	1991	Contact dermatitis	MESH:D003872	dermatitis	Food ID:50225	dandelion	7 subjects, each giving a history suggesting dandelion ANN-DISEASE, were patch tested with extracts of ANN-FOOD as well as with other common members of the Compositae and to the sesquiterpene-lactone-mix.	Neutral
1838315	1991	Contact dermatitis	MESH:D003872	dermatitis	Food ID:50225	dandelion	Although the mix is a useful screening test for chrysanthemum ANN-DISEASE, it may miss ANN-FOOD allergy.	Neutral
3628197	1987	Preventive medicine	MESH:D063646	lard increases colon carcinogenesis	Food ID:4222	safflower	Studies conducted in animal models have shown that high intake of dietary corn oil, beef fat, ANN-FOOD oil, and ANN-DISEASE, whereas diets high in olive oil, coconut oil, and fish oil are without enhancing effect.	Negative
7245094	1981	Teratology	MESH:D003643	embryonic death	Food ID:4182	sesame	the administration of ANN-FOOD oil alone was found to cause ANN-DISEASE but not malformations.	Negative
7245094	1981	Teratology	MESH:D000014	malformations	Food ID:4182	sesame	the administration of ANN-FOOD oil alone was found to cause embryonic death but not ANN-DISEASE.	Neutral
9054592	1997	Carcinogenesis	MESH:D009369	tumor	Food ID:136217	turmeric	The effects of topical applications of very low doses of curcumin (the major yellow pigment in ANN-FOOD and the Indian food curry) on 12-O-tetradecanoylphorbol-13-acetate (TPA)-induced oxidation of DNA bases in the epidermis and on ANN-DISEASE promotion in mouse skin were investigated.	Neutral
9055382	1997	Steroids	MESH:D006973	hypertension	Food ID:49827	licorice	The activity of 11 beta-HSD is impaired in essential ANN-DISEASE, following ANN-FOOD ingestion, and in patients with apparent mineralocorticoid excess where 11 beta-HSD2 is particularly affected.	Neutral
9070878	1997	Biochemical and biophysical research communications	MESH:D009369	tumors	Food ID:4182	sesame	No ANN-DISEASE developed either in the control group given ANN-FOOD oil:DMSO only or in the untreated control group.	Neutral
10882191	2000	Prostaglandins, leukotrienes, and essential fatty acids	MESH:D013927	thrombosis	Food ID:4682	garlic	The use of fresh aqueous ANN-FOOD extract is known to be effective in reducing thromboxane formation by platelets in both in vivo and in vitro animal models of ANN-DISEASE.	Positive
10882191	2000	Prostaglandins, leukotrienes, and essential fatty acids	MESH:D006938	hypercholesterolemic	Food ID:4682	garlic	These results show that ANN-FOOD is beneficial in reducing blood cholesterol, triglycerides levels and systolic blood pressure in ANN-DISEASE rats.	Positive
10882191	2000	Prostaglandins, leukotrienes, and essential fatty acids	MESH:D050197	atherosclerosis--hyperlipidemia	Food ID:4682	garlic	Our experimental results show that ANN-FOOD may beneficially affect two risk factors for ANN-DISEASE and hypertension.	Positive
10882191	2000	Prostaglandins, leukotrienes, and essential fatty acids	MESH:D006973	hypertension	Food ID:4682	garlic	Our experimental results show that ANN-FOOD may beneficially affect two risk factors for atherosclerosis--hyperlipidemia and ANN-DISEASE.	Positive
10897763	2000	Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique	MESH:D001927	encephalopathy	Food ID:3311	Ginkgo biloba	OBJECTIVE ``PURPOSE'': To define the therapeutic effect of ANN-FOOD extract (EGb 761) in an experimental model of acute ANN-DISEASE following total body irradiation in rats.	Positive
10902742	2000	International journal of radiation biology	MESH:D009369	tumour	Food ID:3942	evening primrose	OBJECTIVE ``PURPOSE'': To investigate the effect of the oral administration of ANN-FOOD oil on the radiation response and the blood flow of normal tissue and a ANN-DISEASE in BALB/c mice.	Neutral
10902742	2000	International journal of radiation biology	MESH:D054318	tumour blood flow	Food ID:3942	evening primrose	No modification of ANN-DISEASE or of tumour sensitivity to radiation resulted from ANN-FOOD oil supplementation of mice.	Neutral
10902742	2000	International journal of radiation biology	MESH:D009369	tumour sensitivity	Food ID:3942	evening primrose	No modification of tumour blood flow or of ANN-DISEASE to radiation resulted from ANN-FOOD oil supplementation of mice.	Neutral
10902742	2000	International journal of radiation biology	MESH:D008067	tumour fatty	Food ID:3942	evening primrose	There were no changes in ANN-DISEASE-acid levels as a result of ANN-FOOD oil treatment.	Neutral
10902742	2000	International journal of radiation biology	MESH:D009369	tumour	Food ID:3942	evening primrose	CONCLUSIONS: Daily ANN-FOOD oil supplementation reduced the sensitivity of skin to radiation-induced moist desquamation but did not alter ANN-DISEASE sensitivity to radiation.	Neutral
12852608	2003	Journal of economic entomology	MESH:D010272	parasitism	Food ID:4232	sunflower	Planting date was evaluated as a potential management tool in a variety of production regions throughout North Dakota from 1997 to 1999, for its impact on ANN-FOOD beetle population density of both adults and larvae, defoliation caused by both feeding stages, seed yield, oil content, and larval ANN-DISEASE in cultivated sunflower.	Neutral
12852608	2003	Journal of economic entomology	MESH:D010272	parasitism	Food ID:4232	sunflower	Planting date was evaluated as a potential management tool in a variety of production regions throughout North Dakota from 1997 to 1999, for its impact on sunflower beetle population density of both adults and larvae, defoliation caused by both feeding stages, seed yield, oil content, and larval ANN-DISEASE in cultivated ANN-FOOD.	Neutral
12860272	2003	Cancer letters	MESH:D009369	tumor	Food ID:119260	Cinnamomum cassia	Cinnamaldehyde is an active compound isolated from the stem bark of ANN-FOOD, a traditional oriental medicinal herb, which has been shown to inhibit ANN-DISEASE cell proliferation.	Positive
12860274	2003	Cancer letters	MESH:D063646	colon carcinogenesis	Food ID:4222	safflower	To clarify the chemopreventive effects of conjugated fatty acid derived from ANN-FOOD oil (CFA-S), rich in conjugated linoleic acid (CLA), on mammary and ANN-DISEASE, 6 week old female Sprague-Dawley (SD) rats received diet containing 0.01, 0.05, 0.1, 1, or 2% CFA-S subsequent to five times subcutaneous injections of 1,2-dimethyl-hydrazine (DMH) at a dose of 40 mg/kg b.w. and a single 50 mg/kg b.w. intragastric application of 7,12-dimethylbenz[a]anthracene (DMBA) during the first 11 days.	Neutral
12860316	2003	Journal of ethnopharmacology	MESH:D003741	Lippia alba	Food ID:375272	Pimenta dioica	The reducing activity on the 1,1-diphenyl-2-picrylhydrazyl (DPPH) radical, z.rad;OH radical scavenging potential, in vitro inhibition of lipid peroxidation and modulation of mutagenicity induced by ter-butyl hydroperoxide (TBH) in Escherichia coli were sequentially screened in 45 species of plants used with medicinal purposes in Cuba, in a search for antioxidant agents which protect DNA against oxidative stress.Five species, e.g. Tamarindus indica L., ANN-DISEASE L., ANN-FOOD (L.) Merr, Rheedia aristata Griseb.	Neutral
12860316	2003	Journal of ethnopharmacology	MESH:D004927	Escherichia coli IC	Food ID:375272	Pimenta dioica	Further antimutagenesis assay in ANN-DISEASE 188 evidenced that only ANN-FOOD prevents DNA damage by TBH to the test bacteria.	Positive
12873104	2003	The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society	MESH:D005759	gastroenteritis	Food ID:4232	sunflower	We report the rare case of a ANN-FOOD-seed bezoar impacted at the anal verge in a 6-year-old boy who presented initially with acute ANN-DISEASE.	Neutral
14699077	2004	The Journal of general physiology	MESH:D000138	acidosis	Food ID:4073	chili peppers	TRPV1 ion channels mediate the response to painful heat, extracellular ANN-DISEASE, and capsaicin, the pungent extract from plants in the Capsicum family (hot ANN-FOOD) (Szallasi, A., and P.M. Blumberg.	Neutral
14712970	2003	The Australian & New Zealand journal of obstetrics & gynaecology	MESH:D048968	morning sickness	Food ID:94328	ginger	OBJECTIVE: To investigate the effect of a ANN-FOOD extract (EV.EXT35) on the symptoms of ANN-DISEASE.	Neutral
14712970	2003	The Australian & New Zealand journal of obstetrics & gynaecology	MESH:D009325	nausea	Food ID:94328	ginger	RESULTS: The ANN-DISEASE experience score was significantly less for the ANN-FOOD extract group relative to the placebo group after the first day of treatment and this difference was present for each treatment day.	Positive
14713367	2003	The Journal of pharmacy and pharmacology	MESH:D014402	Pinellia tuber	Food ID:94328	Ginger	The Chinese herbal medicine sho-saiko-to is a mixture of seven herbal components (Bupleurum root, ANN-DISEASE, Scutellaria root, Jujube fruit, Ginseng root, Glycyrrhiza root and ANN-FOOD rhizome) that is widely administered to patients with chronic hepatitis in Japan.	Neutral
14713367	2003	The Journal of pharmacy and pharmacology	MESH:D056487	chronic hepatitis	Food ID:94328	Ginger	The Chinese herbal medicine sho-saiko-to is a mixture of seven herbal components (Bupleurum root, Pinellia tuber, Scutellaria root, Jujube fruit, Ginseng root, Glycyrrhiza root and ANN-FOOD rhizome) that is widely administered to patients with ANN-DISEASE in Japan.	Positive
14729597	2004	Carcinogenesis	MESH:D063646	tumorigenesis	Food ID:48386	Perilla frutescens	ANN-FOOD extract showed marked reduction on ANN-DISEASE in a murine, two-stage skin carcinogenesis model.	Positive
14729597	2004	Carcinogenesis	MESH:D063646	carcinogenesis	Food ID:48386	Perilla frutescens	ANN-FOOD extract showed marked reduction on tumorigenesis in a murine, two-stage skin ANN-DISEASE model.	Neutral
16630125	2006	Cancer science	MESH:D009369	cancer	Food ID:136217	turmeric	Curcumin, a natural compound present in ANN-FOOD, has been studied vigorously as a potent chemopreventive agent for ANN-DISEASE therapy because of its inhibitory effect on proliferation and induction of apoptosis in several tumor cell lines.	Positive
16630125	2006	Cancer science	MESH:D009369	tumor	Food ID:136217	turmeric	Curcumin, a natural compound present in ANN-FOOD, has been studied vigorously as a potent chemopreventive agent for cancer therapy because of its inhibitory effect on proliferation and induction of apoptosis in several ANN-DISEASE cell lines.	Positive
16631988	2006	Annals of emergency medicine	MESH:D007247	infertility	Food ID:4182	sesame	A MEDLINE search yielded a case report in ANN-DISEASE literature describing an eosinophilic pneumonitis with similar clinical features after injections of progesterone in ANN-FOOD oil.	Neutral
16631988	2006	Annals of emergency medicine	MESH:D011014	eosinophilic pneumonitis	Food ID:4182	sesame	A MEDLINE search yielded a case report in infertility literature describing an ANN-DISEASE with similar clinical features after injections of progesterone in ANN-FOOD oil.	Neutral
16635538	2006	Vaccine	MESH:D007239	infection	Food ID:4682	garlic	In this work we tested the immunotherapy against Leishmania (L.) chagasi ANN-DISEASE, using two doses of 100 or 20 microg VR1012-NH36 vaccine (i.m. route), and, as a possible immunomodulator, aqueous ANN-FOOD extract (8 mg/kg/day by the i.p. route), which was effective in immunotherapy of cutaneous murine leishmaniasis.	Neutral
